"DisplayName","Status","RequiredServices","DependentServices"
"Windows Audio Endpoint Builder","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Audio","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Event Log","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Font Cache Service","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Camera Frame Server","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Mobile Hotspot Service","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows License Manager Service","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Defender Firewall","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Installer","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows PushToInstall Service","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Quality Windows Audio Video Experience","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Security Service","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Defender Advanced Threat Protection Service","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Image Acquisition (WIA)","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Modules Installer","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Time","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Update Medic Service","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Biometric Service","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Connection Manager","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Defender Antivirus Network Inspection Service","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Event Collector","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Encryption Provider Host Service","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Error Reporting Service","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Defender Antivirus Service","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Management Instrumentation","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Remote Management (WS-Management)","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Insider Service","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Media Player Network Sharing Service","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Push Notifications System Service","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Push Notifications User Service_3ea159","Running","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Search","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
"Windows Update","Stopped","System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]"
